ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
CDC Activity Grant,CDC,CDBG_DEPT,5575,1,CCR,10,SG2020-158,"266,000.00",7/30/2021,8/20/2021,8/17/2021,"13,038.80",8/17/2021,8/17/2021,8/18/2021,8/18/2021,Complete,21
CDC Activity Grant,CDC,CDBG_DEPT,5575,1,CCR,11,SG2020-158,"266,000.00",7/30/2021,8/20/2021,8/17/2021,"13,027.80",8/17/2021,8/17/2021,8/18/2021,8/18/2021,Complete,21
Cares Act -  Food &  Clothing Distribution,CARESAct,CARESAct,5577,1,CCR,4,S2020-070,"64,327.00",11/16/2020,12/7/2020,11/23/2020,"7,302.99",11/23/2020,11/23/2020,11/24/2020,11/30/2020,Complete,21
Cares act  - Eviction Prevention and Referral,CARESAct,CARESAct,5592,1,CCR,4,SG2020-076,"700,000.00",11/25/2020,12/16/2020,12/10/2020,"3,621.00",12/10/2020,12/10/2020,12/11/2020,12/16/2020,Complete,21
cares act - ESG -men's  shelter - Deconcentration,CARESAct,CARESAct,5614,1,CCR,13,SG2021-132,"4,647,955.00",9/24/2021,10/15/2021,10/13/2021,"477,349.91",10/13/2021,10/14/2021,10/14/2021,10/14/2021,Complete,21
cares act - ESG - men's shelter covid medical respite & support,CARESAct,CARESActESGP,5618,1,CCR,12,SG2020-191,"53,550.00",8/9/2021,8/30/2021,8/16/2021,"4,833.68",8/24/2021,8/26/2021,8/26/2021,8/27/2021,Complete,21
Emergency Shelter,ESG,ESGP,5646,1,CCR,8,SG2021-149,"97,000.00",8/18/2021,9/8/2021,9/2/2021,"6,295.01",9/3/2021,9/3/2021,9/7/2021,9/7/2021,Complete,21
2100 lakeside Men's Shelter - Overhead,ESG,ESGP,5648,1,CCR,7,SG2020-228,"564,192.00",9/2/2021,9/23/2021,9/20/2021,"35,093.52",9/22/2021,9/22/2021,9/22/2021,9/23/2021,Complete,21
2100 lakeside Men's Shelter - Overhead,ESG,ESGP,5648,1,CCR,11,SG2020-228,"564,192.00",11/19/2021,12/10/2021,12/8/2021,"35,043.63",12/8/2021,12/8/2021,12/8/2021,12/8/2021,Complete,21
Zelma George Shelter,ESG,ESGP,5649,1,CCR,7,SG2021-124,"207,261.00",8/10/2021,8/31/2021,8/16/2021,"16,812.51",8/17/2021,8/17/2021,8/18/2021,8/18/2021,Complete,21
Emergency Shelter Services - Bishop Cosgrove and St. Augustine Centers,CDBG Homeless Assistance,CDBG_HA,5651,1,CCR,6,SG2021-068,"65,000.00",7/7/2021,7/28/2021,7/14/2021,"3,282.85",7/23/2021,7/26/2021,7/26/2021,7/27/2021,Complete,21
Northpoint Temporary Housing,CDBG Homeless Assistance,CDBG_HA,5653,1,CCR,6,SG2021-116,"195,500.00",10/28/2021,11/18/2021,11/12/2021,"9,526.62",11/12/2021,11/15/2021,11/15/2021,11/18/2021,Complete,21
cares act ESG round 2 - Seasonal Shelter Program,CARESAct-ESG,CARESActESGP,5667,1,CCR,5,SG2021-167,"500,000.00",7/16/2021,8/6/2021,8/3/2021,"82,356.89",8/4/2021,8/4/2021,8/4/2021,8/6/2021,Complete,21
Community Education and Emergency Food Assistance,Social Service,CDBG_DEPT,5721,1,CCR,1,SG2021-373,"72,500.00",11/15/2021,12/6/2021,11/29/2021,"5,579.23",11/29/2021,11/29/2021,11/29/2021,11/29/2021,Complete,21
West Park Senior Services and Nutrition Program,Social Service,CDBG_DEPT,5730,1,CCR,4,SG 2021-263,"11,700.00",11/15/2021,12/6/2021,11/16/2021,"1,812.88",11/29/2021,11/30/2021,11/30/2021,11/30/2021,Complete,21
CDC Activity Grant - Cudell Neighborhood,CDC,CDBG_DEPT,5760,1,CCR,4,SG2021-0320,"170,000.00",11/15/2021,12/6/2021,11/30/2021,"26,624.40",12/1/2021,12/2/2021,12/2/2021,12/3/2021,Complete,21
CDC Activity Grant - Detroit Shoreway and Sub-District Neighborhoods,CDC,CDBG_DEPT,5761,1,CCR,4,SG2021-0319,"366,500.00",11/15/2021,12/6/2021,11/24/2021,"55,252.40",11/30/2021,12/1/2021,12/1/2021,12/2/2021,Complete,21
CDC Activity Grant,CDC,CDBG_DEPT,5768,1,CCR,1,SG2021-346,"256,300.00",11/9/2021,11/30/2021,11/24/2021,"23,453.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,21
CDC Activity Grant,CDC,CDBG_DEPT,5768,1,CCR,2,SG2021-346,"256,300.00",11/9/2021,11/30/2021,11/24/2021,"22,584.00",11/24/2021,11/24/2021,11/24/2021,11/29/2021,Complete,21
CDC Activity Grant,CDC,CDBG_DEPT,5768,1,CCR,4,SG2021-346,"256,300.00",11/15/2021,12/6/2021,11/30/2021,"44,621.98",11/30/2021,12/1/2021,12/1/2021,12/2/2021,Complete,21
CDC Activity Grant,CDC,CDBG_DEPT,5773,1,CCR,4,SG2021-321,"321,408.00",11/15/2021,12/6/2021,11/30/2021,"48,937.89",11/30/2021,12/1/2021,12/1/2021,12/2/2021,Complete,21
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,30,CT8006 RH2019*006,"250,000.00",10/29/2020,11/20/2020,10/29/2020,"12,825.00",10/29/2020,11/11/2020,11/16/2020,11/18/2020,Complete,22
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,31,CT8006 RH2019*006,"250,000.00",10/29/2020,11/20/2020,10/29/2020,"13,350.00",10/29/2020,11/11/2020,11/16/2020,11/18/2020,Complete,22
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,26,CT8006 RH2019*005,"75,000.00",10/29/2020,11/20/2020,10/29/2020,"2,060.00",10/29/2020,11/11/2020,11/16/2020,11/18/2020,Complete,22
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,27,CT8006 RH2019*005,"75,000.00",10/29/2020,11/20/2020,10/29/2020,"3,400.00",10/29/2020,11/12/2020,11/16/2020,11/18/2020,Complete,22
La Villa Hispana,Single Family,HOME,353,2,HDO,1,CT8006 LA2020*007,"600,000.00",6/25/2020,7/17/2020,6/30/2020,"540,000.00",7/7/2020,7/7/2020,7/10/2020,7/17/2020,Complete,22
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5300,1,CCR,8,SG2019-156,"1,859,000.00",4/1/2020,4/23/2020,4/21/2020,"132,093.00",4/21/2020,4/21/2020,4/22/2020,4/22/2020,Complete,22
CDC OPERATING SUPPORT,CDC,CDBG_DEPT & NDA,5301,1,CCR,6,SG2019-120,"238,000.00",2/11/2020,3/4/2020,2/26/2020,"6,291.66",2/28/2020,2/28/2020,3/2/2020,3/3/2020,Complete,22
Recreation - Ward 3,Social Service,CDBG_DEPT,5316,1,CCR,5,SG2019-185,"13,300.00",4/28/2020,5/20/2020,5/6/2020,642.69,5/11/2020,5/13/2020,5/13/2020,5/20/2020,Complete,22
Recreation - Ward 3,Social Service,CDBG_DEPT,5316,1,CCR,6,SG2019-185,"13,300.00",4/28/2020,5/20/2020,5/6/2020,504.31,5/11/2020,5/13/2020,5/13/2020,5/20/2020,Complete,22
Recreation - Ward 3,Social Service,CDBG_DEPT,5316,1,CCR,7,SG2019-185,"13,300.00",5/27/2020,6/18/2020,6/3/2020,0.00,6/5/2020,6/5/2020,6/8/2020,6/18/2020,Complete,22
Outreach Coordination,Social Service,CDBG_DEPT,5320,1,CCR,6,SG2019-119,"40,000.00",1/23/2020,2/14/2020,2/6/2020,16.10,2/7/2020,2/10/2020,2/10/2020,2/11/2020,Complete,22
Youth Services - Sisterhood Program,Social Service,CDBG_DEPT,5321,1,CCR,6,SG2019-224,"12,110.00",4/28/2020,5/20/2020,5/6/2020,"1,009.22",5/14/2020,5/15/2020,5/15/2020,5/20/2020,Complete,22
Senior Services,Social Service,CDBG_DEPT,5322,1,CCR,9,SG2019-260,"34,000.00",4/28/2020,5/20/2020,5/6/2020,"2,185.21",5/14/2020,5/15/2020,5/15/2020,5/20/2020,Complete,22
Emergency Food Program,Social Service,CDBG_DEPT,5323,1,CCR,5,SG2019-158,"40,098.00",1/2/2020,1/24/2020,1/13/2020,0.00,1/17/2020,1/23/2020,1/23/2020,1/24/2020,Complete,22
Youth Recreation Program-Collinwood,Social Service,CDBG_DEPT,5324,1,CCR,2,SG2019-154,"16,300.00",1/2/2020,1/24/2020,1/13/2020,0.00,1/17/2020,1/23/2020,1/23/2020,1/24/2020,Complete,22
Youth Recreation Program-Collinwood,Social Service,CDBG_DEPT,5324,1,CCR,7,SG2019-154,"16,300.00",6/3/2020,6/25/2020,6/16/2020,0.00,6/17/2020,6/23/2020,6/23/2020,6/25/2020,Complete,22
West Park Senior Services & Nutrition Program,Social Service,CDBG_DEPT,5325,1,CCR,10,SG2019-109,"13,000.00",6/3/2020,6/25/2020,6/16/2020,0.00,6/17/2020,6/23/2020,6/23/2020,6/25/2020,Complete,22
Senior Guest House,Social Service,CDBG_DEPT,5329,1,CCR,10,SG2019-241,"47,900.00",1/13/2021,2/4/2021,1/27/2021,"5,127.72",1/27/2021,1/27/2021,1/28/2021,2/1/2021,Complete,22
Advising Services,Social Service,CDBG_DEPT,5332,1,CCR,8,SG2019-127,"10,000.00",4/28/2020,5/20/2020,5/6/2020,833.33,5/14/2020,5/15/2020,5/15/2020,5/20/2020,Complete,22
Elderly Services,Social Service,CDBG_DEPT,5338,1,CCR,10,SG2019-171,"30,100.00",7/30/2020,8/21/2020,8/13/2020,"1,607.81",8/13/2020,8/14/2020,8/17/2020,8/19/2020,Complete,22
Rose Centers for Aging Well,Social Service,CDBG_DEPT,5339,1,CCR,4,SG2019-108,"149,909.00",1/13/2020,2/4/2020,2/1/2020,0.00,2/3/2020,2/3/2020,2/3/2020,2/4/2020,Complete,22
Adult Wellness Program,Social Service,CDBG_DEPT,5347,1,CCR,3,SG2019-106,"50,000.00",2/3/2020,2/25/2020,2/10/2020,378.02,2/18/2020,2/18/2020,2/19/2020,2/20/2020,Complete,22
Visual Health,Social Service,CDBG_DEPT,5353,1,CCR,8,SG2019-114,"18,200.00",3/31/2020,4/22/2020,4/15/2020,"1,500.00",4/15/2020,4/15/2020,4/16/2020,4/17/2020,Complete,22
Health Assessment,Social Service,CDBG_DEPT,5370,1,CCR,10,SG2019-115,"22,500.00",5/27/2020,6/18/2020,6/3/2020,"1,875.00",6/5/2020,6/5/2020,6/5/2020,6/18/2020,Complete,22
Health Assessment,Social Service,CDBG_DEPT,5370,1,CCR,12,SG2019-115,"22,500.00",7/8/2020,7/30/2020,7/15/2020,"1,875.00",7/16/2020,7/16/2020,7/17/2020,7/30/2020,Complete,22
A Place 4 Me Dignity Fund,Social Service,CDBG_DEPT,5373,1,CCR,9,SG2019-163,"10,000.00",3/31/2020,4/22/2020,4/8/2020,759.77,4/8/2020,4/11/2020,4/13/2020,4/17/2020,Complete,22
Hispanic Senior Center Elderly Services,Social Service,CDBG_DEPT,5379,1,CCR,9,SG2019-130,"19,650.00",7/7/2020,7/29/2020,7/21/2020,"1,511.34",7/23/2020,7/23/2020,7/24/2020,7/29/2020,Complete,22
Senior Adult Program St. Martin de Porres Family Center,Social Service,CDBG_DEPT,5382,1,CCR,9,SG2019-107,"28,440.00",7/7/2020,7/29/2020,7/21/2020,"2,121.09",7/23/2020,7/23/2020,7/24/2020,7/29/2020,Complete,22
2100 Lakeside Men's Shelter (overhead),ESG,ESGP,5422,1,CCR,8,SG2019-240,"500,000.00",8/11/2020,9/2/2020,8/26/2020,"35,784.23",8/26/2020,8/28/2020,8/28/2020,9/2/2020,Complete,22
Sexual Assault Counseling,Social Service,CDBG_DEPT,5480,1,CCR,11,SG2020-239,"39,288.00",6/28/2021,7/20/2021,6/30/2021,"3,109.50",7/6/2021,7/6/2021,7/7/2021,7/20/2021,Complete,22
Elderly Services,Social Service,CDBG_DEPT,5495,1,CCR,4,SG2020-237,"30,100.00",2/2/2021,2/24/2021,2/10/2021,"2,363.09",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,1,SG2020-214,"67,000.00",2/2/2021,2/24/2021,2/10/2021,"5,583.12",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,3,SG2020-214,"67,000.00",2/2/2021,2/24/2021,2/10/2021,"5,583.12",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,4,SG2020-214,"67,000.00",2/2/2021,2/24/2021,2/10/2021,"5,583.12",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,5,SG2020-214,"67,000.00",2/2/2021,2/24/2021,2/10/2021,"5,583.12",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,6,SG2020-214,"67,000.00",2/2/2021,2/24/2021,2/10/2021,"5,583.12",2/10/2021,2/12/2021,2/17/2021,2/24/2021,Complete,22
Advancing Hispanic Student Education & Achievement,Social Service,CDBG_DEPT,5497,1,CCR,10,SG2020-214,"67,000.00",5/24/2021,6/15/2021,5/28/2021,"5,583.12",6/1/2021,6/1/2021,6/14/2021,6/14/2021,Complete,22
Advising Services,Social Service,CDBG_DEPT,5498,1,CCR,7,SG2020-189,"10,000.00",3/24/2021,4/15/2021,3/30/2021,833.33,3/30/2021,4/1/2021,4/8/2021,4/13/2021,Complete,22
West Park Senior Services & Nutrition Program,Social Service,CDBG_DEPT,5502,1,CCR,7,SG2020-241,"13,000.00",2/24/2021,3/18/2021,3/10/2021,748.49,3/15/2021,3/16/2021,3/16/2021,3/18/2021,Complete,22
Brookside Hunger Center,Social Service,CDBG_DEPT,5506,1,CCR,1,SG2020-236,"10,000.00",2/4/2021,2/26/2021,2/10/2021,769.22,2/10/2021,2/12/2021,2/17/2021,2/22/2021,Complete,22
Brookside Hunger Center,Social Service,CDBG_DEPT,5506,1,CCR,2,SG2020-236,"10,000.00",2/4/2021,2/26/2021,2/10/2021,769.22,2/10/2021,2/12/2021,2/17/2021,2/22/2021,Complete,22
Brookside Hunger Center,Social Service,CDBG_DEPT,5506,1,CCR,3,SG2020-236,"10,000.00",2/4/2021,2/26/2021,2/10/2021,769.22,2/10/2021,2/12/2021,2/17/2021,2/22/2021,Complete,22
Counseling/Community Services,Social Service,CDBG_DEPT,5508,1,CCR,11,SG2020-205,"77,500.00",8/18/2021,9/9/2021,9/1/2021,"6,012.69",9/1/2021,9/3/2021,9/7/2021,9/7/2021,Complete,22
Glenville MDC Behavioral Health,Social Service,CDBG_DEPT,5516,1,CCR,8,SG2020-234,"11,300.00",6/30/2021,7/22/2021,7/19/2021,453.42,7/20/2021,7/20/2021,7/20/2021,7/21/2021,Complete,22
Glenville MDC Behavioral Health,Social Service,CDBG_DEPT,5516,1,CCR,9,SG2020-234,"11,300.00",6/30/2021,7/22/2021,7/19/2021,453.42,7/20/2021,7/20/2021,7/20/2021,7/21/2021,Complete,22
Mt. Pleasant Senior Services Program,Social Service,CDBG_DEPT,5517,1,CCR,9,SG2020-232,"23,100.00",9/9/2021,10/1/2021,9/22/2021,"1,895.79",9/23/2021,9/24/2021,9/27/2021,9/27/2021,Complete,22
Rose Centers for Aging Well,Social Service,CDBG_DEPT,5521,1,CCR,10,sg2021-005,"149,909.00",6/28/2021,7/20/2021,7/14/2021,"6,500.85",7/14/2021,7/15/2021,7/15/2021,7/20/2021,Complete,22
Youth Services - Sisterhood Program,Social Service,CDBG_DEPT,5522,1,CCR,5,SG2020-154,"12,110.00",3/24/2021,4/15/2021,3/30/2021,"1,013.44",3/30/2021,4/1/2021,4/8/2021,4/12/2021,Complete,22
City Wide Development Assistance - Business Technical Assistance,City Wide,CDBG_DEPT,5529,1,CCR,8,SG2020-0148,"30,060.00",3/24/2021,4/15/2021,3/31/2021,"2,497.02",3/31/2021,4/1/2021,4/9/2021,4/12/2021,Complete,22
West Park Youth Job Readiness & Empowerment Program,Social Service,CDBG_DEPT,5534,1,CCR,7,SG2020-0161,"20,000.00",5/6/2021,5/28/2021,5/11/2021,760.24,5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,22
West Park Youth Job Readiness & Empowerment Program,Social Service,CDBG_DEPT,5534,1,CCR,8,SG2020-0161,"20,000.00",5/6/2021,5/28/2021,5/11/2021,760.24,5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,22
West Park Youth Job Readiness & Empowerment Program,Social Service,CDBG_DEPT,5534,1,CCR,9,SG2020-0161,"20,000.00",5/6/2021,5/28/2021,5/11/2021,760.24,5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,22
West Park Youth Job Readiness & Empowerment Program,Social Service,CDBG_DEPT,5534,1,CCR,10,SG2020-0161,"20,000.00",5/6/2021,5/28/2021,5/11/2021,760.24,5/12/2021,5/13/2021,5/13/2021,5/14/2021,Complete,22
Senior Guest House,Social Service,CDBG_DEPT,5536,1,CCR,5,SG2020-235,"47,900.00",6/15/2021,7/7/2021,7/1/2021,"2,534.32",7/2/2021,7/2/2021,7/2/2021,7/6/2021,Complete,22
2020 Intergenerational Musical Programming,Social Service,CDBG_DEPT,5537,1,CCR,2,SG2020-187,"13,500.00",2/8/2021,3/2/2021,2/24/2021,"3,375.00",2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,22
2020 Intergenerational Musical Programming,Social Service,CDBG_DEPT,5537,1,CCR,3,SG2020-187,"13,500.00",2/8/2021,3/2/2021,2/24/2021,"3,375.00",2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,22
2020 Intergenerational Musical Programming,Social Service,CDBG_DEPT,5537,1,CCR,4,SG2020-187,"13,500.00",2/8/2021,3/2/2021,2/24/2021,"3,375.00",2/24/2021,2/25/2021,2/26/2021,3/2/2021,Complete,22
Senior Outreach & Nutrition,Social Service,CDBG_DEPT,5539,1,CCR,7,SG2020-213,"20,000.00",2/24/2021,3/18/2021,3/10/2021,"1,592.20",3/16/2021,3/16/2021,3/16/2021,3/18/2021,Complete,22
Eviction Prevention through Mediation,Social Service,CDBG_DEPT,5544,1,CCR,3,SG2020-203,"10,000.00",2/17/2021,3/11/2021,3/3/2021,"1,074.04",3/3/2021,3/4/2021,3/5/2021,3/11/2021,Complete,22
Eviction Prevention through Mediation,Social Service,CDBG_DEPT,5544,1,CCR,4,SG2020-203,"10,000.00",2/17/2021,3/11/2021,3/3/2021,768.16,3/3/2021,3/4/2021,3/5/2021,3/11/2021,Complete,22
Senior Adult Program,Social Service,CDBG_DEPT,5545,1,CCR,5,SG2020-194,"28,440.00",4/6/2021,4/28/2021,4/21/2021,"2,220.30",4/22/2021,4/22/2021,4/23/2021,4/26/2021,Complete,22
Senior Adult Program,Social Service,CDBG_DEPT,5545,1,CCR,6,SG2020-194,"28,440.00",4/6/2021,4/28/2021,4/21/2021,"2,220.30",4/22/2021,4/22/2021,4/23/2021,4/26/2021,Complete,22
CDC Activity Grant,CDC,CDBG_DEPT,5570,1,CCR,11,SG2020-132,"232,000.00",7/29/2021,8/20/2021,8/13/2021,"8,956.85",8/13/2021,8/16/2021,8/18/2021,8/18/2021,Complete,22
CDC Activity Grant,CDC,CDBG_DEPT,5573,1,CCR,2,SG2020-0164,"1,713,090.00",11/18/2020,12/10/2020,12/4/2020,"117,680.00",12/4/2020,12/4/2020,12/7/2020,12/8/2020,Complete,22
CDC Activity Grant,CDC,CDBG_DEPT,5583,1,CCR,11,SG2020-179,"520,000.00",7/29/2021,8/20/2021,8/17/2021,"21,807.60",8/17/2021,8/17/2021,8/18/2021,8/18/2021,Complete,22
cares act connecting seniors,CARESAct,CARESAct,5604,1,CCR,4,SG2020-100,"31,250.00",11/16/2020,12/8/2020,12/2/2020,"2,604.17",12/3/2020,12/3/2020,12/4/2020,12/7/2020,Complete,22
cares act - ESG -men's  shelter - Deconcentration,CARESAct,CARESAct,5614,1,CCR,12,SG2021-132,"4,647,955.00",9/22/2021,10/14/2021,10/12/2021,"475,158.83",10/12/2021,10/12/2021,10/13/2021,10/13/2021,Complete,22
2100 lakeside Men's Shelter - Overhead,ESG,ESGP,5648,1,CCR,6,SG2020-228,"564,192.00",6/28/2021,7/20/2021,7/13/2021,"36,534.88",7/13/2021,7/15/2021,7/15/2021,7/19/2021,Complete,22
short term emergency shelter,ESG,ESGP,5650,1,CCR,5,SG2021-070,"51,000.00",6/15/2021,7/7/2021,7/1/2021,"3,963.36",7/2/2021,7/2/2021,7/2/2021,7/6/2021,Complete,22
2100 Lakeside Mens Shelter - Personnel,CDBG Homeless Assistance,CDBG_HA,5655,1,CCR,1,sg2021-008,"185,808.00",3/31/2021,4/22/2021,3/31/2021,"18,648.77",3/31/2021,4/1/2021,4/9/2021,4/22/2021,Complete,22
2100 Lakeside Mens Shelter - Personnel,CDBG Homeless Assistance,CDBG_HA,5655,1,CCR,2,sg2021-008,"185,808.00",3/31/2021,4/22/2021,3/31/2021,"12,729.64",3/31/2021,4/1/2021,4/9/2021,4/22/2021,Complete,22
2100 Lakeside Mens Shelter - Personnel,CDBG Homeless Assistance,CDBG_HA,5655,1,CCR,3,sg2021-008,"185,808.00",3/31/2021,4/22/2021,3/31/2021,"12,539.82",3/31/2021,4/1/2021,4/9/2021,4/22/2021,Complete,22
cares act ESG round 2 - Seasonal Shelter Program,CARESAct-ESG,CARESActESGP,5667,1,CCR,4,SG2021-167,"500,000.00",6/30/2021,7/22/2021,7/16/2021,"76,815.93",7/19/2021,7/20/2021,7/20/2021,7/21/2021,Complete,22
Visual health 2021,Social Service,CDBG_DEPT,5679,1,CCR,1,SG2021-283,"15,470.00",10/13/2021,11/4/2021,10/26/2021,"1,289.00",10/27/2021,10/27/2021,10/29/2021,11/1/2021,Complete,22
Visual health 2021,Social Service,CDBG_DEPT,5679,1,CCR,2,SG2021-283,"15,470.00",10/13/2021,11/4/2021,10/26/2021,"1,289.00",10/27/2021,10/27/2021,10/29/2021,11/1/2021,Complete,22
outreach coordination,Social Service,CDBG_DEPT,5722,1,CCR,3,SG2021-294,"40,000.00",10/27/2021,11/18/2021,11/10/2021,"2,685.57",11/10/2021,11/11/2021,11/12/2021,11/12/2021,Complete,22
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,29,CT8006 RH2019*006,"250,000.00",10/28/2020,11/20/2020,10/28/2020,"5,425.00",10/28/2020,11/11/2020,11/16/2020,11/18/2020,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,25,CT8006 RH2019*005,"75,000.00",10/28/2020,11/20/2020,10/28/2020,650.00,10/28/2020,11/11/2020,11/16/2020,11/18/2020,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,37,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"2,725.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,38,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"3,230.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,39,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"3,000.00",5/5/2021,5/5/2021,5/11/2021,5/12/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,40,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"8,150.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,41,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"3,000.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,42,CT8006 RH2019*005,"60,000.00",5/5/2021,5/28/2021,5/5/2021,"2,000.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,16,CT8006 RH2019*004,"200,000.00",8/5/2020,8/28/2020,8/5/2020,"25,927.00",8/5/2020,8/5/2020,8/26/2020,8/28/2020,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,10,CT8006 RH2019*003,"50,000.00",8/5/2020,8/28/2020,8/5/2020,"14,138.00",8/5/2020,8/5/2020,8/26/2020,8/28/2020,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,11,CT8006 RH2019*003,"50,000.00",8/5/2020,8/28/2020,8/5/2020,"2,360.00",8/5/2020,8/5/2020,8/6/2020,8/28/2020,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,19,CT8006 RH2019*003,"50,000.00",5/5/2021,5/28/2021,5/5/2021,"5,605.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,20,CT8006 RH2019*003,"50,000.00",5/5/2021,5/28/2021,5/5/2021,"4,490.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,21,CT8006 RH2019*003,"50,000.00",5/5/2021,5/28/2021,5/5/2021,"7,011.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
RAH - Gloria & Jessie Churn,RAH,HOME,143,3,Other_Dept,2,LA2019*036,"60,267.00",5/5/2021,5/28/2021,5/5/2021,"1,660.00",5/5/2021,5/5/2021,5/7/2021,5/11/2021,Complete,23
Gateway Disabled Men's Shelter,ESG,ESGP,5253,1,CCR,12,SG2019-071,"253,267.00",5/26/2020,6/18/2020,6/10/2020,"43,903.46",6/10/2020,6/10/2020,6/12/2020,6/18/2020,Complete,23
Norma Herr Women's Shelter,CDBG Homeless Assistance,CDBG_HA,5257,1,CCR,11,SG2019-043,"175,000.00",1/13/2020,2/5/2020,1/30/2020,743.77,2/3/2020,2/3/2020,2/3/2020,2/4/2020,Complete,23
Canopy Child Advocacy Center,NDA,CDBG_NDA,5279,1,CCR,7,SG2019-090,"20,000.00",2/10/2020,3/4/2020,2/27/2020,"1,102.63",3/2/2020,3/2/2020,3/2/2020,3/3/2020,Complete,23
